Name,Category,Film,Win_Oscar?,Year_Ceremony,Gender,Race or Ethnicity,Sexual orientation,Religion,Age
Meg Tilly,ACTRESS IN A SUPPORTING ROLE,Agnes of God,False,1986,Female,Multiracial,Straight,Na,20
Oprah Winfrey,ACTRESS IN A SUPPORTING ROLE,The Color Purple,False,1986,Female,Black,Straight,Protestant,30
Hector Babenco,DIRECTING,Kiss of the Spider Woman,False,1986,Male,White,Straight,Jewish,40
Sydney Pollack,DIRECTING,Out of Africa,True,1986,Male,White,Straight,Jewish,50
John Huston,DIRECTING,Prizzi's Honor,False,1986,Male,White,Straight,Agnostic,70
Akira Kurosawa,DIRECTING,Ran,False,1986,Male,Asian,Straight,Na,70
Peter Weir,DIRECTING,Witness,False,1986,Male,White,Straight,Na,40
Dexter Gordon,ACTOR,Round Midnight,False,1987,Male,Black,Na,Na,60
Bob Hoskins,ACTOR,Mona Lisa,False,1987,Male,White,Straight,Na,40
William Hurt,ACTOR,Children of a Lesser God,False,1987,Male,White,Straight,Lutheran,30
Paul Newman,ACTOR,The Color of Money,True,1987,Male,White,Straight,Jewish,60
James Woods,ACTOR,Salvador,False,1987,Male,White,Straight,Roman Catholic,30
Tom Berenger,ACTOR IN A SUPPORTING ROLE,Platoon,False,1987,Male,White,Straight,Roman Catholic,30
Michael Caine,ACTOR IN A SUPPORTING ROLE,Hannah and Her Sisters,True,1987,Male,White,Straight,Na,50
Willem Dafoe,ACTOR IN A SUPPORTING ROLE,Platoon,False,1987,Male,White,Straight,Na,30
Denholm Elliott,ACTOR IN A SUPPORTING ROLE,A Room with a View,False,1987,Male,White,Bisexual,Na,60
Dennis Hopper,ACTOR IN A SUPPORTING ROLE,Hoosiers,False,1987,Male,White,Straight,Na,50
Jane Fonda,ACTRESS,The Morning After,False,1987,Female,White,Straight,Born-Again Christian,40
Marlee Matlin,ACTRESS,Children of a Lesser God,True,1987,Female,White,Straight,Jewish,20
Sissy Spacek,ACTRESS,Crimes of the Heart,False,1987,Female,White,Straight,Na,30
Kathleen Turner,ACTRESS,Peggy Sue Got Married,False,1987,Female,White,Straight,Methodist,30
Sigourney Weaver,ACTRESS,Aliens,False,1987,Female,White,Straight,Na,30
Tess Harper,ACTRESS IN A SUPPORTING ROLE,Crimes of the Heart,False,1987,Female,White,Straight,Na,30
Piper Laurie,ACTRESS IN A SUPPORTING ROLE,Children of a Lesser God,False,1987,Female,White,Straight,Jewish,50
Mary Elizabeth Mastrantonio,ACTRESS IN A SUPPORTING ROLE,The Color of Money,False,1987,Female,White,Straight,Na,20
Maggie Smith,ACTRESS IN A SUPPORTING ROLE,A Room with a View,False,1987,Female,White,Straight,Na,50
